value,인덱스,날짜,장,단어,뜻
30,92,2024-03-30,초-30,tend,경향이 있다
20,93,2024-02-27,초-31,bud,"꽃봉오리, 싹"
35,94,2024-03-31,초-31,branch,나뭇가지
23,95,2024-02-27,초-31,worm,"벌레, 기생충"
44,96,2024-04-09,초-31,hatch,"(알을) 까다, 부화하다"
20,97,2024-02-27,초-31,mate,"짝지어주다, 상대, 배우자"
20,98,2024-02-28,초-32,downtown,"도심지에, 시내에"
20,99,2024-02-28,초-32,square,"(거리의) 광장, 사각형"
20,100,2024-02-28,초-32,rural,"시골의, 지방의"
20,101,2024-02-28,초-32,highway,"간선도로, 큰길"
20,102,2024-02-28,초-32,roadway,"도로, 차로"
20,103,2024-02-28,초-33,abroad,"외국에, 해외에"
18,104,2024-02-28,초-33,foreign,"외국의, 외국산의"
20,105,2024-02-28,초-33,race,"인종, 민족, 종족, 경주, 경주하다"
23,106,2024-02-28,초-33,nation,"국가, 민족"
23,107,2024-02-28,초-33,native,"토착의, 본국의, 본래의"
20,108,2024-02-28,초-33,aid,"원조, 원조하다, 돕다"
20,109,2024-02-28,초-33,worldwide,"전 세계로, 세계적인, 세계 속의"
44,110,2024-04-09,초-35,surround,"둘러싸다, 에워싸다"
20,111,2024-02-29,초-35,hang,"걸다, 매달다"
20,112,2024-02-29,초-35,draw,당기다
20,113,2024-02-29,초-35,turn,"회전하다, 돌리다, 회전시키다, 뒤엎다, 회전, 순번, 차례"
44,114,2024-04-09,초-35,place,"장소, 곳, 두다"
20,115,2024-02-29,초-35,lift,"들어 올리다, 승강기"
20,116,2024-02-29,초-36,right,"옳은, 올바른, 오른쪽의, 권리"
20,117,2024-02-29,초-36,affair,"사건, 업무"
20,118,2024-02-29,초-36,custom,"관습, 습관"
20,119,2024-02-29,초-36,force,"힘, 세력, 강요하다"
20,120,2024-02-29,초-36,rule,"규칙, 관례, 통치하다"
18,121,2024-03-01,초-37,earn,"벌다, 일해서 얻다"
23,122,2024-03-01,초-37,interview,"면접, 회견, 면접하다"
20,123,2024-03-01,초-37,salary,"봉급, 급료"
23,124,2024-03-01,초-37,manage,"관리하다, 해내다"
41,125,2024-04-07,초-37,wage,"임금, 노임"
41,126,2024-04-07,초-37,hardworking,열심히 일하는
20,127,2024-03-01,초-37,quit,"그만두다, 중지하다"
35,128,2024-04-01,초-37,skilled,숙련된
20,129,2024-03-01,초-37,chief,"우두머리, 장, 상사"
20,130,2024-03-01,초-37,service,"봉사, 편의"
20,131,2024-03-01,초-37,apply,"지원하다, 적용하다"
20,132,2024-03-01,초-37,chairman,"의장, 사회자, 회장"
44,133,2024-04-09,초-38,save,"저축하다, 절약하다"
38,134,2024-04-02,초-38,election,선거
44,135,2024-04-09,초-38,material,"재료, 물질"
38,136,2024-04-02,초-38,wealth,"부, 재산"
20,137,2024-03-01,초-38,supply,"공급, 공급하다"
41,138,2024-04-07,초-38,affect,~에 영향을 미치다
20,139,2024-03-01,초-38,issue,"논쟁, 쟁점, 문제, 발행, 판, 발행하다"
41,140,2024-04-07,초-38,select,선출하다
20,141,2024-03-01,초-38,trade,"무역, 장사, 거래"
18,142,2024-03-01,초-38,among,~의 사이에
38,143,2024-04-02,초-39,steal,훔치다
20,144,2024-03-01,초-39,obey,"복종하다, 따르다"
18,145,2024-03-01,초-39,punish,"벌하다, 응징하다"
44,146,2024-04-09,초-39,evil,나쁜
20,147,2024-03-01,초-39,court,"법정, 공판, 안뜰, 정원, 코트"
23,148,2024-03-01,초-39,false,"틀린, 오류의, 거짓의"
18,149,2024-03-01,초-39,belief,"확신, 신념"
30,150,2024-03-30,초-39,law,"법률, 법"
20,151,2024-03-01,초-39,rob,"훔치다, 빼앗다"
23,152,2024-03-01,초-39,religion,"종교, 신앙"
18,153,2024-03-01,초-1,single,"미혼의, 독신의, 단 하나의, 일인용의"
20,154,2024-03-01,초-1,relative,"친척, 일가"
35,155,2024-04-01,초-1,widow,"미망인, 과부"
35,156,2024-04-01,초-1,divorce,"이혼하다, 이혼"
23,157,2024-03-01,초-1,partner,"배우자, 동료"
20,158,2024-03-01,초-1,support,"부양하다, 원조하다, 지지, 부양"
20,159,2024-03-01,초-2,close,"친한, 친밀한, 가까운, (관계가) 밀접한, 닫다, 종결하다, 끝내다"
23,160,2024-03-01,초-2,trust,"믿다, 신뢰하다, 신임, 신뢰"
38,161,2024-04-02,초-2,rumor,소문
23,162,2024-03-01,초-3,celebration,"축하, 축전"
30,163,2024-03-30,초-3,dine,식사를 하다
30,164,2024-03-30,초-3,graduate,졸업하다
23,165,2024-03-01,초-3,event,"행사, 사건"
20,166,2024-03-01,초-3,present,"선물, 선물하다, 주다, 현재의, 출석하고 있는"
20,167,2024-03-01,초-3,occasion,"특별한 일, 행사, 경우"
35,168,2024-04-01,초-3,special,"특별한, 전문의"
44,169,2024-04-09,초-3,hold,"개최하다, 열다"
41,170,2024-04-07,초-3,prize,"상품, 상"
18,171,2024-03-01,초-3,memory,"추억, 기억"
20,172,2024-03-01,초-4,refuse,거절하다
18,173,2024-03-01,초-4,allow,허락하다
20,174,2024-03-01,초-4,opinion,"의견, 견해"
18,175,2024-03-01,초-4,offer,"권유, 제의, 권하다, 제공하다"
20,176,2024-03-01,초-4,suggest,"제안하다, 제의하다"
18,177,2024-03-01,초-4,accept,"받아들이다, 동의하다"
20,178,2024-03-01,초-4,beg,"간청하다, 구걸하다"
20,179,2024-03-01,초-4,reply,"대답, 답변, 대답하다, 답장하다"
20,180,2024-03-01,초-5,calm,"가라앉히다, 달래다, 침착한, 고요한"
20,181,2024-03-01,초-5,cheerful,"기분 좋은, 명랑한"
20,182,2024-03-01,초-5,clever,"영리한, 똑똑한"
18,183,2024-03-01,초-5,patience,"인내, 끈기"
20,184,2024-03-01,초-5,polite,"공손한, 예의 바른"
20,185,2024-03-01,초-5,certain,"확신하는, 확실한"
18,186,2024-03-01,초-5,unkind,"불친절한, 매정한"
18,187,2024-03-01,초-5,proud,"거만한, 자랑으로 여기는"
20,188,2024-03-01,초-5,annoy,"괴롭히다, 귀찮게 굴다"
18,189,2024-03-01,초-5,brilliant,똑똑한
35,190,2024-04-01,초-6,blond,"금발의, 금발"
18,191,2024-03-01,초-6,attractive,"마음을 끄는, 매력적인"
20,192,2024-03-01,초-6,pale,"(얼굴이) 창백한, (빛깔 등이) 엷은"
38,193,2024-04-02,초-6,gracefully,우아하게
20,194,2024-03-01,초-6,neat,"단정한, 깔끔한"
35,195,2024-04-01,초-6,beard,턱수염
18,196,2024-03-01,초-6,curly,"곱슬머리의, 고수머리의"
18,197,2024-03-01,초-6,skinny,바싹 여윈
38,198,2024-04-02,초-6,height,"키, 높이"
20,199,2024-03-01,초-6,unlike,"~와 다른, 닮지 않은"
38,200,2024-04-03,초-7,sew,바느질하다
41,201,2024-04-07,초-7,patch,헝겊을 대고 깊다
38,202,2024-04-03,초-7,trousers,바지
38,203,2024-04-03,초-7,purse,지갑
20,204,2024-03-01,초-7,suit,"(의복)한 벌, 어울리다, 적합하다"
20,205,2024-03-01,초-7,stain,"얼룩지다, 더럽히다, 얼룩, 때"
41,206,2024-04-07,초-7,fur,"모피, 모피 제품"
45,207,2024-04-22,초-7,striped,줄무늬가 있는
35,208,2024-04-01,초-7,shorts,반바지
30,209,2024-03-30,2,plumbing,"(수도, 가스 등의) 배관, 배관 공사"
18,210,2024-03-03,3,sour,"(맛이) 신, 시큼한, (사물이) 불쾌한, 빈약한, 졸렬한, 신 맛, 신 것"
18,211,2024-03-03,4,sense,"감각, 분별력, 오감, 의미, 뜻, 감지하다"
20,212,2024-03-03,4,workout,"연습, 운동"
30,213,2024-03-30,5,relax,"긴장을 풀다, 편히 쉬다"
30,214,2024-03-30,5,expedition,"탐험, 원정"
21,215,2024-03-04,5,recreation,"휴양, 기분전환"
18,216,2024-03-04,6,concern,"관심, 걱정, ~에 관계하다, 걱정하다"
18,217,2024-03-04,6,estimate,"어림잡다, 추산하다"
20,218,2024-03-04,6,expectation,"기대, 예상"
30,219,2024-03-30,6,subconscious,잠재의식의
18,220,2024-03-04,6,view,"견해, 관점, 의견, 전망, 조망, 목적, 계획"
20,221,2024-03-04,7,favorable,"호의를 보이는, 찬성의"
30,222,2024-03-30,7,amuse,"흥겹게 하다, 기쁘게 하다"
18,223,2024-03-04,7,delightful,"매우 기쁜, 유쾌한"
18,224,2024-03-04,7,friendly,"우호적인, 다정한"
18,225,2024-03-05,8,bored,"지루해 하는, 싫증나는"
21,226,2024-03-05,8,annoy,"성가시게 하다, 짜증나게 하다"
20,227,2024-03-05,8,desperate,"필사적인, 절망적인"
18,228,2024-03-05,8,hateful,"미운, 지겨운"
21,229,2024-03-05,8,negative,"부정적인, 부정의, 금지의, 반대의, 소극적인, 음성의, 마이너스의"
18,230,2024-03-05,8,nervous,"초조한, 긴장하는"
20,231,2024-03-05,8,restless,"침착하지 못한, 들떠있는"
20,232,2024-03-05,8,despise,경멸하다
30,233,2024-03-30,8,wicked,"악한, 심술궂은"
21,234,2024-03-05,9,temper,"성질, 기질, 천성, 화, 짜증, 부드럽게 하다, 진정하다, 단련시키다"
30,235,2024-03-30,9,sincere,"성실한, 진지한"
18,236,2024-03-05,9,blunt,"무딘, 무뚝뚝한"
21,237,2024-03-05,9,positive,"확신하는, 긍정적인"
18,238,2024-03-06,10,mean,"비열한, 짓궃은, 중간의, 수단, 재산, 의미하다, ~할 작정이다"
20,239,2024-03-07,1,breed,"낳다, 기르다, 품종"
18,240,2024-03-07,1,nurture,"영양분을 주다, 양육하다"
30,241,2024-03-30,1,foster,"기르다, 양육하다, 양육하는, 기르는"
18,242,2024-03-07,2,cleanse,"씻다, 청결히 하다"
18,243,2024-03-07,2,furnish,"(물건을) 공급하다, (가구를) 비치하다"
20,244,2024-03-07,2,hut,오두막
30,245,2024-03-30,2,broom,"비, 빗자루"
30,246,2024-03-30,3,tasteless,무미한
30,247,2024-03-30,3,comb,"빗, 빗질하다"
30,248,2024-03-30,3,cosmetic,"화장의, 미용의, 화장품"
18,249,2024-03-07,3,flavor,"맛, 조미료"
